hgnc_id,effect_allele_frequency
HGNC:24871,2.67398e-05
HGNC:989,6.97561e-05
HGNC:2715,8.48699e-05
HGNC:2654,3.60406e-05
HGNC:26089,0.000159276
HGNC:20821,0.000966122
HGNC:29225,0.00182877
HGNC:2016,0.000690585
HGNC:2015,0.000296463
HGNC:2018,0.00219732
HGNC:10833,4.88293e-05
HGNC:17705,5.69675e-05
HGNC:5193,4.18537e-05
HGNC:9406,8.83577e-05
HGNC:4648,9.64959e-05
HGNC:33238,0.000747553
HGNC:25073,0.00670472
HGNC:4184,0.00314832
HGNC:4182,0.00110098
HGNC:4183,0.000292976
HGNC:29606,0.00179854
HGNC:20480,0.00560955
HGNC:19895,0.010303
HGNC:25395,0.000299951
HGNC:30692,5.69675e-05
HGNC:25075,0.000154626
HGNC:16992,5.23171e-05
HGNC:14104,0.000124398
HGNC:954,2.20894e-05
HGNC:29222,7.90569e-05
HGNC:20193,0.00121608
HGNC:1745,0.000506894
HGNC:11774,0.000175553
HGNC:1105,0.000365057
HGNC:23758,0.000351106
HGNC:21019,0.000405748
HGNC:24032,0.000162764
HGNC:14373,0.000537122
HGNC:25791,0.000694073
HGNC:4237,3.25528e-05
HGNC:3501,0.000422024
HGNC:32213,9.06829e-05
HGNC:29535,8.48699e-05
HGNC:24251,0.000217406
HGNC:30370,0.00106959
HGNC:3017,6.97561e-06
HGNC:20851,0.000129049
HGNC:973,0.00034413
HGNC:24013,0.000401097
HGNC:4312,7.09187e-05
HGNC:34,0.00100914
HGNC:30207,0.000266236
HGNC:67,0.000152301
HGNC:3541,5.23171e-05
HGNC:28689,0.000588276
HGNC:2157,5.34797e-05
HGNC:28287,0.000230195
HGNC:26477,3.02276e-05
HGNC:49388,0.000149976
HGNC:21393,0.000262748
HGNC:17662,1.51138e-05
HGNC:3012,0.00533867
HGNC:14971,0.000155789
HGNC:31703,7.44065e-05
HGNC:23496,3.4878e-05
HGNC:15846,0.000115098
HGNC:27622,0.00031274
HGNC:321,0.00138931
HGNC:11023,9.76585e-05
HGNC:23363,0.000117423
HGNC:25403,0.000225545
HGNC:25502,0.000552236
HGNC:28228,0.00054061
HGNC:2698,0.000179041
HGNC:17981,0.000141837
HGNC:1718,0.000251122
HGNC:4539,2.9065e-05
HGNC:12663,8.60325e-05
HGNC:3516,0.000213919
HGNC:19306,0.00017439
HGNC:24270,0.000125561
HGNC:3165,5.11545e-05
HGNC:17990,0.000179041
HGNC:2186,0.000296463
HGNC:18666,0.0030495
HGNC:478,0.000480154
HGNC:477,0.00112191
HGNC:476,0.000141837
HGNC:18241,0.000170902
HGNC:23319,8.37073e-05
HGNC:12659,0.000345293
HGNC:20662,0.000601065
HGNC:26550,0.000774293
HGNC:31988,0.000856837
HGNC:27637,5.69675e-05
HGNC:26400,0.000146488
HGNC:25512,0.000125561
HGNC:26668,0.0012963
HGNC:11446,8.60325e-05
HGNC:28398,0.000419699
HGNC:29501,0.00108819
HGNC:29675,0.00029065
HGNC:29141,9.30081e-05
HGNC:11546,5.69675e-05
HGNC:30187,1.86016e-05
HGNC:32331,0.000690585
HGNC:29618,0.000469691
HGNC:10537,5.69675e-05
HGNC:3231,0.000132537
HGNC:24472,0.000315065
HGNC:30434,0.00039761
HGNC:11186,9.99837e-05
HGNC:9534,5.81301e-06
HGNC:27638,0.000126724
HGNC:28713,9.30081e-06
HGNC:26804,0.000139512
HGNC:13300,4.18537e-05
HGNC:4387,0.000131374
HGNC:4394,0.000146488
HGNC:469,0.000662683
HGNC:4636,0.00325412
HGNC:4634,0.000454577
HGNC:4637,0.000349943
HGNC:4635,0.000194154
HGNC:21297,0.000444114
HGNC:2432,2.09268e-05
HGNC:344,0.000245309
HGNC:25916,0.000298789
HGNC:449,4.99919e-05
HGNC:32309,2.79024e-05
HGNC:31399,3.72032e-05
HGNC:6236,0.000272049
HGNC:14959,0.000149976
HGNC:10925,0.000302276
HGNC:17955,5.11545e-05
HGNC:18454,0.00025926
HGNC:6219,8.71951e-05
HGNC:6220,3.83658e-05
HGNC:6221,5.34797e-05
HGNC:1686,5.69675e-05
HGNC:30299,0.000180203
HGNC:28769,0.000587114
HGNC:24289,2.79024e-05
HGNC:26192,0.00145558
HGNC:1933,0.000244146
HGNC:17432,0.00229149
HGNC:27009,0.000104634
HGNC:8524,0.00184854
HGNC:29652,0.000139512
HGNC:840,5.58049e-05
HGNC:28344,0.000130211
HGNC:51375,0.000188341
HGNC:9855,1.97642e-05
HGNC:28045,0.000605715
HGNC:2743,0.000919618
HGNC:6239,1.39512e-05
HGNC:25330,5.81301e-05
HGNC:12781,7.90569e-05
HGNC:18441,0.000453415
HGNC:1488,1.86016e-05
HGNC:7200,0.00107192
HGNC:669,0.000711512
HGNC:20785,0.00165206
HGNC:21590,0.000858
HGNC:10922,6.74309e-05
HGNC:20889,0.00049178
HGNC:29647,0.000274374
HGNC:8939,0.00105564
HGNC:25642,0.000499919
HGNC:9652,0.000704536
