ensg,beta,standard_error,effect_allele_frequency
ENSG00000116329,0.227566,0.215603,0.000101419
ENSG00000159023,0.111975,0.138324,0.000246303
ENSG00000253304,0.117215,0.193704,0.000125566
ENSG00000116353,0.111781,0.150729,0.000207667
ENSG00000060656,-0.0353117,0.0774173,0.000787204
ENSG00000162510,-0.0114484,0.109791,0.000391187
ENSG00000162512,0.190339,0.220862,9.65894e-05
ENSG00000134644,0.173209,0.121612,0.000318745
ENSG00000084628,0.353008,0.441727,2.41474e-05
ENSG00000060688,0.192094,0.123498,0.000309086
ENSG00000121766,0.0314912,0.142572,0.000231815
ENSG00000121769,-0.404781,0.263981,6.76126e-05
ENSG00000168528,-0.0538519,0.139709,0.000231815
ENSG00000142910,-0.127442,0.226591,9.176e-05
ENSG00000121764,-0.25877,0.129717,0.000280109
ENSG00000162517,0.0711949,0.215531,0.000101419
ENSG00000084636,-0.0160347,0.0713466,0.000927259
ENSG00000121753,-0.107034,0.166982,0.000169031
ENSG00000134668,0.0250094,0.0717149,0.0009176
ENSG00000184007,-0.394129,0.329207,4.34652e-05
ENSG00000121774,-0.828369,0.441645,2.41474e-05
ENSG00000121775,-0.103494,0.226588,9.176e-05
ENSG00000084652,0.134949,0.349171,3.86358e-05
ENSG00000160050,0.107157,0.183428,0.000140055
ENSG00000160051,0.00433362,0.0447739,0.00234229
ENSG00000222046,-0.0169043,0.0760463,0.000816181
ENSG00000160055,-0.0731757,0.0818011,0.000705103
ENSG00000084623,0.363492,0.329203,4.34652e-05
ENSG00000183615,-0.277364,0.190084,0.000130396
ENSG00000182866,-0.0145094,0.0607579,0.00223605
ENSG00000116478,-0.302988,0.205938,0.000111078
ENSG00000175130,-0.0121612,0.441637,2.41474e-05
ENSG00000225828,0.140936,0.20162,0.000115907
ENSG00000162526,0.0586423,0.122549,0.000313916
ENSG00000160058,0.0654094,0.25502,7.24421e-05
ENSG00000273274,0.0649561,0.180337,0.000144884
ENSG00000160062,0.0158446,0.215531,0.000101419
ENSG00000176261,-0.0439324,0.246947,7.72715e-05
ENSG00000162521,-0.052719,0.0728752,0.000888623
ENSG00000162520,-0.0544326,0.107191,0.000410505
ENSG00000162522,0.01812,0.0305471,0.00510475
ENSG00000134684,0.116962,0.127547,0.000289768
ENSG00000116497,-0.269259,0.171943,0.000159373
ENSG00000160097,0.373192,0.44233,2.41474e-05
ENSG00000121900,0.0181595,0.035526,0.00374284
ENSG00000116514,0.0537622,0.119805,0.000328404
ENSG00000004455,0.0329168,0.0558567,0.00151645
ENSG00000142920,-0.135174,0.246903,7.72715e-05
ENSG00000116525,0.0329376,0.118109,0.000338063
ENSG00000184389,0.0353006,0.135719,0.000255962
ENSG00000134686,0.191694,0.180337,0.000144884
ENSG00000121903,0.221331,0.154268,0.000198008
ENSG00000121904,-0.0854057,0.0883991,0.000603684
ENSG00000176256,0.336757,0.150633,0.000207667
ENSG00000142698,0.0864474,0.104186,0.000434652
ENSG00000189280,0.0164084,0.119805,0.000328404
ENSG00000189433,0.00646629,0.0474538,0.00209116
ENSG00000188910,-0.326393,0.169407,0.000164202
ENSG00000187513,0.248817,0.312357,4.82947e-05
ENSG00000163866,-0.298701,0.441778,2.41474e-05
ENSG00000243749,-0.0876038,0.156189,0.000193179
ENSG00000163867,-0.00767267,0.0841301,0.000666467
ENSG00000197056,-0.172602,0.186675,0.000135225
ENSG00000146463,-0.098177,0.441658,2.41474e-05
ENSG00000142687,0.105052,0.171953,0.000159373
ENSG00000116819,-0.18459,0.162392,0.00017869
ENSG00000142686,0.0341558,0.0595248,0.00133293
ENSG00000092853,0.264179,0.1134,0.00036704
ENSG00000134698,-0.257787,0.220852,9.65894e-05
ENSG00000092847,0.00762549,0.164651,0.000173861
ENSG00000092850,0.0648086,0.109787,0.000391187
ENSG00000116863,-0.228303,0.349215,3.86358e-05
ENSG00000171812,0.14073,0.14726,0.000217326
ENSG00000054116,-0.560574,0.186838,0.000135225
ENSG00000116871,0.218832,0.17744,0.000149714
ENSG00000214193,-0.0261759,0.0542123,0.00159856
ENSG00000142694,-0.196023,0.28512,5.79537e-05
ENSG00000196182,0.180918,0.285116,5.79537e-05
ENSG00000181817,-0.616062,0.403171,2.89768e-05
ENSG00000116885,-0.261236,0.145645,0.000222156
ENSG00000116898,0.0341623,0.0628051,0.00119771
ENSG00000119535,0.0555517,0.0663576,0.00107214
ENSG00000163873,-0.0988626,0.125465,0.000299427
ENSG00000163875,0.0828368,0.255016,7.24421e-05
ENSG00000163877,0.727212,0.349178,3.86358e-05
ENSG00000163879,-0.0310403,0.148937,0.000212497
ENSG00000134697,-0.0763116,0.107165,0.000410505
ENSG00000116922,-0.0626788,0.0690495,0.000990042
ENSG00000134690,0.134047,0.158186,0.000188349
ENSG00000183317,-0.0268708,0.0612153,0.00126049
ENSG00000185090,0.0139137,0.180344,0.000144884
ENSG00000196449,-0.0771124,0.246907,7.72715e-05
ENSG00000197982,0.470471,0.373268,3.38063e-05
ENSG00000188786,-0.135262,0.273932,6.27831e-05
ENSG00000204084,-0.0360358,0.0323796,0.00453487
ENSG00000183431,-0.362811,0.329195,4.34652e-05
ENSG00000183386,0.0234692,0.186669,0.000135225
ENSG00000183520,0.0483543,0.121606,0.000318745
ENSG00000116954,-0.136619,0.18343,0.000140055
ENSG00000214114,0.36037,0.297979,5.31242e-05
ENSG00000274944,0.748583,0.4032,2.89768e-05
ENSG00000131233,-0.121521,0.0880362,0.000608513
ENSG00000158315,-0.0219624,0.0442787,0.00240508
ENSG00000168653,-0.200347,0.246898,7.72715e-05
ENSG00000127603,-0.106048,0.0586325,0.00153094
ENSG00000183682,0.0599662,0.134612,0.000260791
ENSG00000090621,0.566342,0.263958,6.76126e-05
ENSG00000163909,0.112427,0.0717139,0.0009176
ENSG00000116981,-0.146018,0.215563,0.000101419
ENSG00000116983,0.375338,0.349158,3.86358e-05
ENSG00000084072,-0.130737,0.160242,0.00018352
ENSG00000116985,0.135048,0.169398,0.000164202
ENSG00000198754,0.12242,0.0983171,0.000487777
ENSG00000043514,0.0727194,0.0464589,0.00219258
ENSG00000116990,0.418648,0.285124,5.79537e-05
ENSG00000168389,-0.235868,0.263983,6.76126e-05
ENSG00000131236,-0.0545047,0.118079,0.000338063
ENSG00000131238,-0.0690319,0.0801657,0.00073408
ENSG00000117000,0.392903,0.441695,2.41474e-05
ENSG00000188800,-0.0865279,0.0851453,0.000651979
ENSG00000084073,-0.0505353,0.0812411,0.000714762
ENSG00000049089,-0.00293018,0.0969055,0.000502265
ENSG00000084070,-0.00047072,0.134833,0.000260791
ENSG00000187801,-0.0328227,0.103014,0.000444311
ENSG00000187815,0.00532524,0.0624156,0.0012122
ENSG00000164002,-0.0533156,0.263959,6.76126e-05
ENSG00000117010,-0.207136,0.160235,0.00018352
ENSG00000117016,0.144101,0.37327,3.38063e-05
ENSG00000066136,0.115762,0.0467653,0.00215394
ENSG00000117013,0.130648,0.162434,0.00017869
ENSG00000179862,0.0111012,0.205967,0.000111078
ENSG00000171793,-0.0399859,0.0635898,0.00116873
ENSG00000171790,-0.00267828,0.0270857,0.00648115
ENSG00000010803,-0.00748996,0.0397303,0.00301842
ENSG00000204060,0.0424348,0.0743043,0.000854816
ENSG00000127129,-0.0189362,0.0686949,0.00100453
ENSG00000127124,0.103463,0.122657,0.000313916
ENSG00000044012,0.423566,0.441656,2.41474e-05
ENSG00000197273,-0.0674891,0.117277,0.000342892
ENSG00000198815,-0.25109,0.312305,4.82947e-05
ENSG00000177181,0.172811,0.26395,6.76126e-05
ENSG00000066185,-0.0293592,0.0978414,0.000492606
ENSG00000127125,0.347426,0.201609,0.000115907
ENSG00000186409,-0.0774952,0.0367374,0.00351586
ENSG00000171960,-0.118477,0.205948,0.000111078
ENSG00000065978,-0.160832,0.312353,4.82947e-05
ENSG00000164007,0.235916,0.263951,6.76126e-05
ENSG00000117385,-0.0731778,0.129734,0.000280109
ENSG00000164008,-0.0198028,0.0683872,0.00100936
ENSG00000274386,0.090953,0.226876,9.176e-05
ENSG00000177868,-0.445203,0.329242,4.34652e-05
